,home_team,home_score,home_scorers,away_team,away_score,away_scorers
3686,Manchester City,1,['Silva'],Arsenal,0,[]
3687,Queens Park Rangers,0,[],Manchester United,2,"['Rooney', 'Carrick']"
3688,Tottenham Hotspur,1,['Pavlyuchenko'],Sunderland,0,[]
3689,Newcastle United,0,[],Swansea City,0,[]
3690,Fulham,2,"['Dempsey', 'Ruiz']",Bolton Wanderers,0,[]
3691,Everton,1,['Osman'],Norwich City,1,['Holt']
3692,Blackburn Rovers,1,['Dann'],West Bromwich Albion,2,"['Morrison', 'Odemwingie']"
3693,Wigan Athletic,1,['Gomez'],Chelsea,1,['Sturridge']
3694,Chelsea,2,"['Meireles', 'Lampard']",Manchester City,1,['Balotelli']
3695,Stoke City,2,"['Etherington', 'Etherington']",Tottenham Hotspur,1,['Adebayor']
3696,Sunderland,2,"['Vaughan', 'Larsson']",Blackburn Rovers,1,['Vukcevic']
3697,Swansea City,2,"['Sinclair', 'Graham']",Fulham,0,[]
3698,West Bromwich Albion,1,['Reid'],Wigan Athletic,2,"['Moses', 'Gomez']"
3699,Arsenal,1,['Persie'],Everton,0,[]
3700,Bolton Wanderers,1,['Klasnic'],Aston Villa,2,"['Albrighton', 'Petrov']"
3701,Liverpool,1,['Suarez'],Queens Park Rangers,0,[]
3702,Manchester United,4,"['Nani', 'Rooney', 'Nani', 'Rooney']",Wolverhampton,1,['Fletcher']
3703,Norwich City,4,"['Hoolahan', 'Holt', 'Morison', 'Holt']",Newcastle United,2,"['Ba', 'Ba']"
3704,Fulham,1,['Dempsey'],Liverpool,0,[]
3705,Wolverhampton,2,"['Fletcher', 'Fletcher']",Sunderland,1,['Richardson']
3706,Everton,0,[],Stoke City,1,['Huth']
3707,Aston Villa,0,[],Manchester United,1,['Jones']
3708,Blackburn Rovers,4,"['Yakubu', 'Yakubu', 'Yakubu', 'Yakubu']",Swansea City,2,"['Lita', 'Moore']"
3709,Wigan Athletic,0,[],Arsenal,4,"['Arteta', 'Vermaelen', 'Gervinho', 'Persie']"
3710,Tottenham Hotspur,3,"['Bale', 'Lennon', 'Defoe']",Bolton Wanderers,0,[]
3711,Manchester City,5,"['Ag?ero', 'Nasri', 'Tour?', 'Balotelli', 'Johnson']",Norwich City,1,['Morison']
3712,Newcastle United,0,[],Chelsea,3,"['Drogba', 'Kalou', 'Sturridge']"
3713,Queens Park Rangers,1,['Helguson'],West Bromwich Albion,1,['Long']
3714,Swansea City,0,[],Aston Villa,0,[]
3715,West Bromwich Albion,1,['Mulumbu'],Tottenham Hotspur,3,"['Adebayor', 'Defoe', 'Adebayor']"
3716,Bolton Wanderers,0,[],Everton,2,"['Fellaini', 'Vellios']"
3717,Sunderland,1,['Larsson'],Wigan Athletic,2,"['Gomez', 'Santo']"
3718,Norwich City,2,"['Martin', 'Holt']",Queens Park Rangers,1,['Young']
