,home_team,home_score,home_scorers,away_team,away_score,away_scorers
771,Liverpool,0,[],Charlton Athletic,1,['Bartlett']
772,Tottenham Hotspur,1,['Defoe'],Manchester City,1,['Anelka']
773,Aston Villa,3,"['Vassell', 'Hitzlsperger', 'Hendrie']",Chelsea,2,"['Crespo', 'Crespo']"
774,Wolverhampton,1,['Camara'],Bolton Wanderers,2,"['Pedersen', 'Davies']"
775,Fulham,3,"['John', 'John', 'Morte']",Blackburn Rovers,4,"['Cole', 'Douglas', 'Amoruso', 'Stead']"
776,Newcastle United,0,[],Arsenal,0,[]
777,Bolton Wanderers,2,"['Pedersen', 'Davies']",Aston Villa,2,"['Crouch', 'Hendrie']"
778,Leicester City,0,[],Fulham,2,"['John', 'John']"
779,Birmingham,1,['Grainger'],Manchester United,2,"['Ronaldo', 'Saha']"
780,Manchester City,3,"['Anelka', 'Sibierski', 'Wright-Phillips']",Wolverhampton,3,"['Kennedy', 'Cort', 'Camara']"
781,Chelsea,0,[],Middlesboro,0,[]
782,Charlton Athletic,1,['Bartlett'],Portsmouth,1,['Ayegbeni']
783,Blackburn Rovers,1,['Short'],Leeds United,2,"['Caldwell', 'Viduka']"
784,Everton,3,"['Unsworth', 'Naysmith', 'Yobo']",Tottenham Hotspur,1,['Carr']
785,Arsenal,4,"['Henry', 'Pires', 'Henry', 'Henry']",Liverpool,2,"['Hyypia', 'Owen']"
786,Leeds United,3,"['Duberry', 'Viduka', 'Smith']",Leicester City,2,"['Dickov', 'Izzet']"
787,Aston Villa,1,['Angel'],Manchester City,1,['Distin']
788,Tottenham Hotspur,0,[],Chelsea,1,['Hasselbaink']
789,Fulham,0,[],Birmingham,0,[]
790,Wolverhampton,1,['Camara'],Southampton,4,"['Beattie', 'Lundekvam', 'Phillips', 'Phillips']"
791,Newcastle United,4,"['Bellamy', 'Dyer', 'Shearer', 'Shearer']",Everton,2,"['Gravesen', 'Yobo']"
792,Bolton Wanderers,1,['Pedersen'],Newcastle United,0,[]
793,Leicester City,0,[],Liverpool,0,[]
794,Arsenal,1,['Henry'],Manchester United,1,['Saha']
795,Southampton,1,['Delap'],Tottenham Hotspur,0,[]
796,Chelsea,5,"['Melchiot', 'Lampard', 'Hasselbaink', 'Hasselbaink', 'Hasselbaink']",Wolverhampton,2,"['Camara', 'Craddock']"
797,Blackburn Rovers,1,['Tugay'],Portsmouth,2,"['Sheringham', 'Ayegbeni']"
798,Everton,1,['Radzinski'],Middlesboro,1,['Job']
799,Charlton Athletic,1,['Cole'],Aston Villa,2,"['Vassell', 'Samuel']"
800,Birmingham,4,"['Hughes', 'Hughes', 'Forssell', 'Forssell']",Leeds United,1,['Viduka']
801,Leeds United,2,"['McPhail', 'Viduka']",Manchester City,1,['Anelka']
802,Portsmouth,1,['Ayegbeni'],Southampton,0,[]
803,Leicester City,1,['Bent'],Everton,1,['Rooney']
804,Manchester United,3,"['Giggs', 'Ronaldo', 'Bellion']",Tottenham Hotspur,0,[]
805,Liverpool,1,['Hyypia'],Wolverhampton,0,[]
806,Aston Villa,0,[],Blackburn Rovers,2,"['Flitcroft', 'Stead']"
807,Middlesboro,5,"['Mendieta', 'Maccarone', 'Southgate', 'Maccarone', 'Nemeth']",Birmingham,3,"['Forssell', 'Morrison', 'Forssell']"
808,Newcastle United,3,"['Shearer', 'Jenas', 'Shearer']",Charlton Athletic,1,['Jensen']
809,Chelsea,2,"['Gudjohnsen', 'Duff']",Fulham,1,['Pembridge']
810,Arsenal,2,"['Pires', 'Bergkamp']",Bolton Wanderers,1,['Campo']
811,Liverpool,3,"['Hamann', 'Owen', 'Owen']",Portsmouth,0,[]
812,Southampton,2,"['Beattie', 'Phillips']",Liverpool,0,[]
813,Manchester City,4,"['Fowler', 'Macken', 'Sinclair', 'Wright-Phillips']",Manchester United,1,['Scholes']
814,Wolverhampton,0,[],Aston Villa,4,"['Hitzlsperger', 'Mellberg', 'Angel', 'Angel']"
815,Blackburn Rovers,0,[],Arsenal,2,"['Henry', 'Pires']"
816,Charlton Athletic,1,['Holland'],Middlesboro,0,[]
817,Birmingham,0,[],Leicester City,1,['Ferdinand']
818,Fulham,2,"['Davis', 'Morte']",Leeds United,0,[]
819,Bolton Wanderers,0,[],Chelsea,2,"['Terry', 'Duff']"
820,Everton,1,['Rooney'],Portsmouth,0,[]
821,Middlesboro,1,['Nemeth'],Tottenham Hotspur,0,[]
822,Birmingham,2,"['Forssell', 'Hughes']",Bolton Wanderers,0,[]
823,Birmingham,3,"['Taylor', 'Savage', 'Forssell']",Middlesboro,1,['Nemeth']
824,Portsmouth,1,['Lua-Lua'],Newcastle United,1,['Bellamy']
825,Leeds United,2,"['Bakke', 'Viduka']",Liverpool,2,"['Kewell', 'Baros']"
826,Fulham,1,['Morte'],Manchester United,1,['Saha']
827,Arsenal,2,"['Pires', 'Henry']",Charlton Athletic,1,['Jensen']
828,Leicester City,0,[],Wolverhampton,0,[]
829,Manchester City,0,[],Chelsea,1,['Gudjohnsen']
830,Everton,2,"['Radzinski', 'Gravesen']",Aston Villa,0,[]
831,Blackburn Rovers,1,['Cole'],Southampton,1,['Phillips']
832,Aston Villa,2,"['Vassell', 'Hitzlsperger']",Birmingham,2,"['Forssell', 'John']"
833,Wolverhampton,2,"['Ince', 'Cort']",Fulham,1,['Malbranque']
834,Manchester United,1,['Scholes'],Leeds United,1,['Smith']
835,Southampton,3,"['Phillips', 'Beattie', 'Fernandes']",Everton,3,"['Rooney', 'Ferguson', 'Rooney']"
836,Chelsea,1,['Gudjohnsen'],Arsenal,2,"['Vieira', 'Edu']"
837,Newcastle United,2,"['Bellamy', 'Shearer']",Middlesboro,1,['Zenden']
838,Charlton Athletic,3,"['Cole', 'Euell', 'Jensen']",Blackburn Rovers,2,"['Cole', 'Friedel']"
839,Fulham,1,['Morte'],Aston Villa,2,"['Angel', 'Vassell']"
840,Liverpool,2,"['Owen', 'Gerrard']",Manchester City,1,['Wright-Phillips']
841,Manchester United,2,"['Nistelrooy', 'Giggs']",Middlesboro,3,"['Paulista', 'Paulista', 'Job']"
842,Portsmouth,0,[],Chelsea,2,"['Parker', 'Crespo']"
843,Charlton Athletic,2,"['Stuart', 'Perry']",Tottenham Hotspur,4,"['Davies', 'Defoe', 'King', 'Jackson']"
844,Blackburn Rovers,1,['Stead'],Newcastle United,1,['Bellamy']
845,Birmingham,3,"['Johnson', 'Lazarides', 'Forssell']",Everton,0,[]
846,Leeds United,4,"['Smith', 'Matteo', 'Milner', 'Viduka']",Wolverhampton,1,['Ganea']
847,Arsenal,2,"['Henry', 'Henry']",Southampton,0,[]
848,Chelsea,1,['Hasselbaink'],Charlton Athletic,0,[]
849,Manchester City,0,[],Birmingham,0,[]
850,Tottenham Hotspur,4,"['Defoe', 'Keane', 'Keane', 'Poyet']",Portsmouth,3,"['Berkovic', 'LuaLua', 'Mornar']"
851,Bolton Wanderers,2,"['Hunt', 'Djorkaeff']",Liverpool,2,"['Hyypia', 'Gerrard']"
852,Wolverhampton,1,['Ganea'],Arsenal,3,"['Bergkamp', 'Henry', 'Toure']"
853,Middlesboro,0,[],Blackburn Rovers,1,['Stead']
854,Aston Villa,2,"['Angel', 'Johnsen']",Leeds United,0,[]
855,Southampton,0,[],Fulham,0,[]
856,Blackburn Rovers,2,"['Flitcroft', 'Gallagher']",Chelsea,3,"['Lampard', 'Lampard', 'Johnson']"
857,Fulham,2,"['Malbranque', 'McBride']",Tottenham Hotspur,1,['Keane']
858,Birmingham,1,['John'],Newcastle United,1,['Speed']
859,Leeds United,0,[],Middlesboro,3,"['Zenden', 'Job', 'Ricketts']"
860,Leicester City,0,[],Aston Villa,5,"['Vassell', 'Crouch', 'Vassell', 'Dublin', 'Crouch']"
861,Charlton Athletic,1,['Johansson'],Bolton Wanderers,2,"['Pedersen', 'Nolan']"
862,Portsmouth,0,[],Wolverhampton,0,[]
863,Liverpool,0,[],Everton,0,[]
864,Manchester United,3,"['Saha', 'Scholes', 'Nistelrooy']",Southampton,2,"['Phillips', 'Phillips']"
865,Wolverhampton,1,['Miller'],Liverpool,1,['Cheyrou']
866,Newcastle United,3,"[""O'Brien"", 'Speed', 'Robert']",Fulham,1,['Davis']
867,Chelsea,0,[],Birmingham,0,[]
868,Aston Villa,0,[],Arsenal,2,"['Henry', 'Henry']"
869,Wolverhampton,1,['Miller'],Manchester United,0,[]
870,Bolton Wanderers,1,['Davies'],Portsmouth,0,[]
871,Manchester City,1,['Anelka'],Blackburn Rovers,1,['Flitcroft']
872,Southampton,2,"['Ormerod', 'Phillips']",Leeds United,1,['Kilgallon']
873,Everton,0,[],Charlton Athletic,1,['Stuart']
874,Manchester United,0,[],Newcastle United,0,[]
875,Leicester City,0,[],Chelsea,4,"['Hasselbaink', 'Hasselbaink', 'Mutu', 'Babayaro']"
876,Leeds United,0,[],Tottenham Hotspur,1,['Keane']
877,Portsmouth,4,"['Stefanovic', 'Yakubu', 'Sheringham', 'Yakubu']",Manchester City,2,"['Anelka', 'Sibierski']"
878,Charlton Athletic,2,"['Euell', 'Euell']",Wolverhampton,0,[]
879,Fulham,2,"['Saha', 'Malbranque']",Everton,1,['Kilbane']
880,Blackburn Rovers,3,"['Gresko', 'Yorke', 'Cole']",Bolton Wanderers,4,"['Nolan', 'Djorkaeff', 'Giannakopoulos', 'Nolan']"
881,Birmingham,2,"['Clemence', 'Kenna']",Southampton,1,['Ormerod']
882,Wolverhampton,2,"['Butler', 'Rae']",Blackburn Rovers,2,"['Cole', 'Yorke']"
883,Chelsea,0,[],Liverpool,1,['Cheyrou']
884,Newcastle United,1,['Shearer'],Leeds United,0,[]
885,Southampton,0,[],Leicester City,0,[]
886,Everton,1,['Radzinski'],Arsenal,1,['Kanu']
887,Manchester City,1,['Fowler'],Charlton Athletic,1,['Canio']
888,Tottenham Hotspur,4,"['Dalmat', 'Dalmat', 'Davies', 'Keane']",Birmingham,1,['Savage']
889,Bolton Wanderers,1,['Djorkaeff'],Manchester United,2,"['Scholes', 'Nistelrooy']"
890,Middlesboro,2,"['Job', 'Nemeth']",Fulham,1,['Hayles']
891,Aston Villa,2,"['Angel', 'Vassell']",Portsmouth,1,['Yakubu']
892,Southampton,0,[],Arsenal,1,['Pires']
893,Tottenham Hotspur,0,[],Charlton Athletic,1,['Cole']
894,Everton,1,['Rooney'],Birmingham,0,[]
895,Newcastle United,0,[],Blackburn Rovers,1,['Gallagher']
896,Bolton Wanderers,2,"[""N'Gotty"", 'Campo']",Leicester City,2,"['Bent', 'Ferdinand']"
897,Manchester City,2,"['Anelka', 'Fowler']",Liverpool,2,"['Smicer', 'Hamann']"
898,Aston Villa,3,"['Angel', 'Vassell', 'Vassell']",Fulham,0,[]
899,Chelsea,3,"['Bridge', 'Lampard', 'Geremi']",Portsmouth,0,[]
900,Birmingham,2,"['Kenna', 'Forssell']",Manchester City,1,['Fowler']
901,Liverpool,3,"['Hyypia', 'Sinama-Pongolle', 'Smicer']",Bolton Wanderers,1,['Pedersen']
902,Leeds United,0,[],Aston Villa,0,[]
903,Blackburn Rovers,2,"['Babbel', 'Babbel']",Middlesboro,2,"['Paulista', 'Paulista']"
904,Leicester City,1,['Dickov'],Newcastle United,1,['Ambrose']
905,Portsmouth,2,"['Berger', 'Berger']",Tottenham Hotspur,0,[]
906,Fulham,2,"['Saha', 'Saha']",Southampton,0,[]
907,Charlton Athletic,4,"['Hreidarsson', 'Holland', 'Johansson', 'Euell']",Chelsea,2,"['Terry', 'Gudjohnsen']"
908,Manchester City,1,['Sibierski'],Leeds United,1,['Viduka']
909,Tottenham Hotspur,1,['Poyet'],Manchester United,2,"[""O'Shea"", 'Nistelrooy']"
910,Southampton,3,"['Dodd', 'Pahars', 'Beattie']",Portsmouth,0,[]
911,Bolton Wanderers,1,['Pedersen'],Arsenal,1,['Pires']
912,Blackburn Rovers,0,[],Aston Villa,2,"['Moore', 'Angel']"
913,Charlton Athletic,0,[],Newcastle United,0,[]
914,Fulham,0,[],Chelsea,1,['Crespo']
915,Leeds United,3,"['Duberry', 'Viduka', 'Matteo']",Fulham,2,"['Saha', 'Saha']"
916,Arsenal,1,['Bergkamp'],Blackburn Rovers,0,[]
917,Aston Villa,3,"['Angel', 'Angel', 'Barry']",Wolverhampton,2,"['Rae', 'Kennedy']"
918,Middlesboro,0,[],Charlton Athletic,0,[]
919,Liverpool,1,['Heskey'],Southampton,2,"['Ormerod', 'Svensson']"
920,Newcastle United,4,"['Robert', 'Robert', 'Shearer', 'Shearer']",Tottenham Hotspur,0,[]
921,Portsmouth,1,['Roberts'],Everton,2,"['Carsley', 'Rooney']"
922,Manchester United,3,"['Scholes', 'Nistelrooy', 'Scholes']",Manchester City,1,['Wright-Phillips']
923,Leicester City,0,[],Birmingham,2,"['Morrison', 'Forssell']"
924,Southampton,3,"['Svensson', 'Ormerod', 'Ormerod']",Charlton Athletic,2,"['Parker', 'Parker']"
925,Everton,0,[],Manchester City,0,[]
926,Manchester United,4,"['Nistelrooy', 'Nistelrooy', 'Forlan', 'g']",Aston Villa,0,[]
927,Tottenham Hotspur,5,"['Keane', 'Kanoute', 'Keane', 'Keane', 'Dalmat']",Wolverhampton,2,"['Ince', 'Rae']"
928,Leicester City,1,['Hignett'],Arsenal,1,['Silva']
929,Fulham,2,"['Davis', 'Sava']",Bolton Wanderers,1,['Davies']
930,Leeds United,1,['Pennant'],Chelsea,1,['Duff']
931,Birmingham,0,[],Blackburn Rovers,4,"['Ferguson', 'Neill', 'Tugay', 'Gallagher']"
932,Middlesboro,0,[],Portsmouth,0,[]
933,Newcastle United,1,['Shearer'],Liverpool,1,['Murphy']
934,Chelsea,1,['Lampard'],Manchester United,0,[]
935,Liverpool,3,"['Gerrard', 'Kewell', 'Heskey']",Birmingham,1,['Forssell']
936,Arsenal,0,[],Fulham,0,[]
937,Blackburn Rovers,1,['Gresko'],Tottenham Hotspur,0,[]
938,Portsmouth,0,[],Leicester City,2,"['Ferdinand', 'Bent']"
939,Charlton Athletic,0,[],Leeds United,1,['Milner']
940,Bolton Wanderers,2,"['Frandsen', 'Djorkaeff']",Everton,0,[]
941,Wolverhampton,1,['Blake'],Newcastle United,1,['Shearer']
942,Fulham,2,"['Saha', 'Saha']",Portsmouth,0,[]
943,Tottenham Hotspur,2,"['Ricketts', 'Keane']",Aston Villa,1,['Allback']
944,Southampton,0,[],Chelsea,1,['Melchiot']
945,Everton,2,"['Radzinski', 'Kilbane']",Wolverhampton,0,[]
946,Middlesboro,0,[],Liverpool,0,[]
947,Birmingham,0,[],Arsenal,3,"['Ljungberg', 'Bergkamp', 'Pires']"
948,Newcastle United,3,"['Ameobi', 'Shearer', 'Shearer']",Manchester City,0,[]
949,Leeds United,0,[],Bolton Wanderers,2,"['Davies', 'Giannakopoulos']"
950,Leicester City,1,['Ferdinand'],Charlton Athletic,1,['Canio']
951,Manchester United,2,"['Nistelrooy', 'Kleberson']",Blackburn Rovers,1,['Emerton']
952,Blackburn Rovers,2,"['Babbel', 'Yorke']",Everton,1,['Radzinski']
953,Chelsea,5,"['Johnson', 'Crespo', 'Lampard', 'Duff', 'Gudjohnsen']",Newcastle United,0,[]
954,Manchester City,0,[],Leicester City,3,"['Stewart', 'Dickov', 'Bent']"
955,Liverpool,1,['Kewell'],Manchester United,2,"['Giggs', 'Giggs']"
956,Aston Villa,0,[],Middlesboro,2,"['Zenden', 'Ricketts']"
957,Bolton Wanderers,0,[],Southampton,0,[]
958,Portsmouth,6,"['Stefanovic', ""O'Neil"", 'Foxe', ""O'Neil"", 'Berger', 'Yakubu']",Leeds United,1,['Smith']
959,Arsenal,2,"['Pires', 'Ljungberg']",Tottenham Hotspur,1,['Anderton']
960,Charlton Athletic,3,"['Stuart', 'Johansson', 'Johansson']",Fulham,1,['Davis']
961,Wolverhampton,1,['Iversen'],Birmingham,1,['Forssell']
962,Birmingham,1,['Dugarry'],Charlton Athletic,2,"['Holland', 'Holland']"
963,Leicester City,2,"['Bent', 'Howey']",Blackburn Rovers,0,[]
964,Fulham,1,['Saha'],Liverpool,2,"['Heskey', 'Murphy']"
965,Tottenham Hotspur,0,[],Bolton Wanderers,1,['Nolan']
966,Newcastle United,1,['Robert'],Aston Villa,1,['Dublin']
967,Leeds United,1,['Smith'],Arsenal,4,"['Henry', 'Pires', 'Henry', 'Silva']"
968,Middlesboro,2,"['Mendieta', 'Paulista']",Wolverhampton,0,[]
969,Manchester United,3,"['Forlan', 'Ronaldo', 'Keane']",Portsmouth,0,[]
970,Everton,0,[],Chelsea,1,['Mutu']
971,Southampton,0,[],Manchester City,2,"['Fowler', 'Wanchope']"
972,Tottenham Hotspur,0,[],Middlesboro,0,[]
973,Charlton Athletic,1,['Canio'],Arsenal,1,['Henry']
974,Manchester United,1,['Forlan'],Fulham,3,"['Clark', 'Malbranque', 'Inamoto']"
975,Newcastle United,3,"['Speed', 'Shearer', 'Ameobi']",Portsmouth,0,[]
976,Chelsea,1,['Hasselbaink'],Manchester City,0,[]
977,Southampton,2,"['Beattie', 'Griffit']",Blackburn Rovers,0,[]
978,Aston Villa,0,[],Everton,0,[]
979,Wolverhampton,4,"['Cameron', 'Cameron', 'Rae', 'Camara']",Leicester City,3,"['Ferdinand', 'Ferdinand', 'Scimeca']"
980,Liverpool,3,"['Owen', 'Murphy', 'Sinama-Pongolle']",Leeds United,1,['Smith']
981,Bolton Wanderers,0,[],Birmingham,1,['Forssell']
982,Fulham,2,"['Clark', 'Saha']",Newcastle United,3,"['Robert', 'Shearer', 'Shearer']"
983,Blackburn Rovers,0,[],Charlton Athletic,1,['Hreidarsson']
984,Everton,0,[],Southampton,0,[]
985,Leicester City,1,['Dickov'],Tottenham Hotspur,2,"['Mabizela', 'Kanoute']"
986,Birmingham,0,[],Aston Villa,0,[]
987,Arsenal,2,"['Edu', 'Henry']",Chelsea,1,['Crespo']
988,Portsmouth,1,['Berger'],Liverpool,0,[]
989,Fulham,0,[],Wolverhampton,0,[]
990,Manchester City,6,"['Wright-Phillips', 'Distin', 'Wright-Phillips', 'Anelka', 'Anelka', 'Reyna']",Bolton Wanderers,2,"['Nolan', 'Campo']"
991,Leeds United,0,[],Manchester United,1,['Keane']
992,Birmingham,0,[],Chelsea,0,[]
993,Aston Villa,1,['Angel'],Bolton Wanderers,1,['Nolan']
994,Middlesboro,1,['Nemeth'],Chelsea,2,"['Gudjohnsen', 'Crespo']"
995,Portsmouth,1,['Sheringham'],Charlton Athletic,2,"['Fortune', 'Bartlett']"
996,Fulham,2,"['Morte', 'Morte']",Leicester City,0,[]
997,Leeds United,2,"['Johnson', 'Johnson']",Blackburn Rovers,1,['Baggio']
998,Tottenham Hotspur,3,"['Kanoute', 'Poyet', 'Keane']",Everton,0,[]
999,Wolverhampton,1,['Cameron'],Manchester City,0,[]
1000,Newcastle United,1,['Shearer'],Southampton,0,[]
1001,Manchester United,3,"['Nistelrooy', 'Scholes', 'Giggs']",Birmingham,0,[]
1002,Manchester City,0,[],Tottenham Hotspur,0,[]
1003,Blackburn Rovers,0,[],Fulham,2,"['Morte', 'Saha']"
1004,Everton,4,"['Watson', 'Watson', 'Ferguson', 'Watson']",Leeds United,0,[]
1005,Charlton Athletic,3,"['Lisbie', 'Lisbie', 'Lisbie']",Liverpool,2,"['Smicer', 'Owen']"
1006,Chelsea,1,['Hasselbaink'],Aston Villa,0,[]
1007,Bolton Wanderers,1,['Davies'],Wolverhampton,1,['Rae']
1008,Birmingham,2,"['Clemence', 'Lazarides']",Portsmouth,0,[]
1009,Southampton,0,[],Middlesboro,1,['Christie']
1010,Leicester City,1,['Sinclair'],Manchester United,4,"['Keane', 'Nistelrooy', 'Nistelrooy', 'Nistelrooy']"
1011,Arsenal,3,"['Henry', 'Silva', 'Henry']",Newcastle United,2,"['Robert', 'Bernard']"
1012,Manchester United,0,[],Arsenal,0,[]
1013,Middlesboro,1,['Job'],Everton,0,[]
1014,Fulham,2,"['Malbranque', 'Saha']",Manchester City,2,"['Anelka', 'Wanchope']"
1015,Leeds United,0,[],Birmingham,2,"['Savage', 'Forssell']"
1016,Tottenham Hotspur,1,['Kanoute'],Southampton,3,"['Beattie', 'Beattie', 'Phillips']"
1017,Aston Villa,2,"['Alpay', 'Samuel']",Charlton Athletic,1,['Lisbie']
1018,Liverpool,2,"['Owen', 'Heskey']",Leicester City,1,['Bent']
1019,Portsmouth,1,['Zeeuw'],Blackburn Rovers,2,"['Neill', 'Cole']"
1020,Newcastle United,0,[],Bolton Wanderers,0,[]
1021,Wolverhampton,0,[],Chelsea,5,"['Lampard', 'Hasselbaink', 'Duff', 'Crespo', 'Crespo']"
1022,Leicester City,4,"['Nalis', 'Dickov', 'Dickov', 'Scowcroft']",Leeds United,0,[]
1023,Birmingham,2,"['Forssell', 'Forssell']",Fulham,2,"['Saha', 'Morte']"
1024,Manchester City,4,"['Anelka', 'Tarnat', 'Anelka', 'Anelka']",Aston Villa,1,['Angel']
1025,Southampton,2,"['Beattie', 'Beattie']",Wolverhampton,0,[]
1026,Everton,2,"['Radzinski', 'Ferguson']",Newcastle United,2,"['Shearer', 'Shearer']"
1027,Bolton Wanderers,2,"['Davies', ""N'Gotty""]",Middlesboro,0,[]
1028,Blackburn Rovers,1,['Jansen'],Liverpool,3,"['Owen', 'Owen', 'Kewell']"
1029,Arsenal,1,['Henry'],Portsmouth,1,['Sheringham']
1030,Chelsea,4,"['Lampard', 'Mutu', 'Mutu', 'Hasselbaink']",Tottenham Hotspur,2,"['Kanoute', 'Kanoute']"
1031,Charlton Athletic,0,[],Manchester United,2,"['Nistelrooy', 'Nistelrooy']"
1032,Southampton,1,['Beattie'],Manchester United,0,[]
1033,Middlesboro,2,"['Nemeth', 'Paulista']",Leeds United,3,"['Sakho', 'Camara', 'Viduka']"
1034,Tottenham Hotspur,0,[],Fulham,3,"['Hayles', 'Hayles', 'Morte']"
1035,Chelsea,2,"['Mutu', 'Hasselbaink']",Blackburn Rovers,2,"['Cole', 'Cole']"
1036,Wolverhampton,0,[],Portsmouth,0,[]
1037,Newcastle United,0,[],Birmingham,1,['Dunn']
1038,Everton,0,[],Liverpool,3,"['Owen', 'Owen', 'Kewell']"
1039,Manchester United,1,"[""O'Shea""]",Wolverhampton,0,[]
1040,Liverpool,0,[],Tottenham Hotspur,0,[]
1041,Arsenal,2,"['Campbell', 'Henry']",Aston Villa,0,[]
1042,Charlton Athletic,2,"['Euell', 'Euell']",Everton,2,"['Watson', 'Rooney']"
1043,Leeds United,0,[],Southampton,0,[]
1044,Leicester City,0,[],Middlesboro,0,[]
1045,Portsmouth,4,"['Stone', 'Sheringham', 'Sheringham', 'Sheringham']",Bolton Wanderers,0,[]
1046,Middlesboro,0,[],Arsenal,4,"['Henry', 'Silva', 'Wiltord', 'Wiltord']"
1047,Aston Villa,0,[],Liverpool,0,[]
1048,Everton,3,"['Naysmith', 'Unsworth', 'Watson']",Fulham,1,['Hayles']
1049,Tottenham Hotspur,2,"['Taricco', 'Kanoute']",Leeds United,1,['Smith']
1050,Wolverhampton,0,[],Charlton Athletic,4,"['Euell', 'Jensen', 'Bartlett', 'Bartlett']"
1051,Southampton,0,[],Birmingham,0,[]
1052,Manchester City,1,['Sommeil'],Portsmouth,1,['Yakubu']
1053,Bolton Wanderers,2,"['Djorkaeff', 'Davies']",Blackburn Rovers,2,"['Jansen', 'Yorke']"
1054,Newcastle United,1,['Shearer'],Manchester United,2,"['Nistelrooy', 'Scholes']"
1055,Liverpool,1,['Owen'],Chelsea,2,"['Veron', 'Hasselbaink']"
1056,Leeds United,2,"['Viduka', 'Smith']",Newcastle United,2,"['Shearer', 'Shearer']"
1057,Charlton Athletic,0,[],Manchester City,3,"['Anelka', 'Sibierski', 'Jihai']"
1058,Manchester United,4,"['Giggs', 'Giggs', 'Scholes', 'Nistelrooy']",Bolton Wanderers,0,[]
1059,Blackburn Rovers,5,"['Amoruso', 'Thompson', 'Emerton', 'Cole', 'Cole']",Wolverhampton,1,['Iversen']
1060,Fulham,3,"['Marlet', 'Inamoto', 'Saha']",Middlesboro,2,"['Marinelli', 'Nemeth']"
1061,Leicester City,2,"['Dickov', 'Ferdinand']",Southampton,2,"['Phillips', 'Beattie']"
1062,Arsenal,2,"['Henry', 'Pires']",Everton,1,['Radzinski']
1063,Portsmouth,2,"['Sheringham', 'Berger']",Aston Villa,1,['Barry']
1064,Birmingham,1,['Dunn'],Tottenham Hotspur,0,[]
1065,Bolton Wanderers,3,"['Jaidi', 'Davies', 'Giannakopoulos']",Everton,2,"['Cahill', 'Carsley']"
1066,Birmingham,2,"['Pandiani', 'Heskey']",Arsenal,1,['Bergkamp']
1067,Liverpool,2,"['Cisse', 'Cisse']",Aston Villa,1,['Barry']
1068,Fulham,6,"['McBride', 'Diop', 'Knight', 'Malbranque', 'McBride', 'Cole']",Norwich City,0,[]
1069,Tottenham Hotspur,0,[],Blackburn Rovers,0,[]
1070,Manchester City,1,['Musampa'],Middlesboro,1,['Hasselbaink']
1071,Charlton Athletic,2,"['Hughes', 'Fortune']",Crystal Palace,2,"['Freedman', 'Johnson']"
1072,West Bromwich Albion,2,"['Horsfield', 'Richardson']",Portsmouth,0,[]
1073,Arsenal,7,"['Persie', 'Pires', 'Vieira', 'Pires', 'Edu', 'Bergkamp', 'Flamini']",Everton,0,[]
1074,Manchester United,1,['Nistelrooy'],Chelsea,3,"['Tiago', 'Gudjohnsen', 'Cole']"
1075,Arsenal,3,"['Pires', 'Calderon', 'Fabregas']",Liverpool,1,['Gerrard']
1076,Chelsea,1,['Makelele'],Charlton Athletic,0,[]
1077,Portsmouth,1,['Ayegbeni'],Bolton Wanderers,1,['Diouf']
1078,Manchester United,1,['Giggs'],West Bromwich Albion,1,['Earnshaw']
1079,Middlesboro,1,['Boateng'],Tottenham Hotspur,0,[]
1080,Norwich City,1,['Ashton'],Birmingham,0,[]
1081,Blackburn Rovers,1,['Neill'],Fulham,3,"['Malbranque', 'McBride', 'Malbranque']"
1082,Everton,2,"['Weir', 'Cahill']",Newcastle United,0,[]
1083,Aston Villa,1,['Angel'],Manchester City,2,"['Phillips', 'Musampa']"
1084,Crystal Palace,2,"['Hall', 'Ventola']",Southampton,2,"['Crouch', 'Higginbotham']"
1085,Fulham,1,['Radzinski'],Newcastle United,3,"['Ambrose', 'Kluivert', 'Ameobi']"
1086,West Bromwich Albion,0,[],Arsenal,2,"['Persie', 'Edu']"
1087,Charlton Athletic,0,[],Manchester United,4,"['Scholes', 'Fletcher', 'Smith', 'Rooney']"
1088,Tottenham Hotspur,5,"['Kanoute', 'King', 'Kanoute', 'Reid', 'Kelly']",Aston Villa,1,['Barry']
1089,Liverpool,1,['Gerrard'],Middlesboro,1,['Nemeth']
1090,Bolton Wanderers,0,[],Chelsea,2,"['Lampard', 'Lampard']"
1091,Newcastle United,0,[],Crystal Palace,0,[]
1092,Manchester City,2,"['Distin', 'Fowler']",Portsmouth,0,[]
1093,Birmingham,2,"['Blake', 'Heskey']",Blackburn Rovers,1,['Stead']
1094,Fulham,2,"['Collins', 'McBride']",Everton,0,[]
1095,Newcastle United,0,[],Middlesboro,0,[]
1096,West Bromwich Albion,1,['Richardson'],Blackburn Rovers,1,['Emerton']
1097,Arsenal,1,['Calderon'],Tottenham Hotspur,0,[]
1098,Manchester United,2,"['Rooney', 'Brown']",Newcastle United,1,['Ambrose']
1099,Portsmouth,4,"['Ayegbeni', 'Zeeuw', 'Lua-Lua', 'Lua-Lua']",Southampton,1,['Camara']
1100,Norwich City,1,['Svensson'],Charlton Athletic,0,[]
1101,Middlesboro,4,"['Nemeth', 'Hasselbaink', 'Nemeth', 'Downing']",West Bromwich Albion,0,[]
1102,Crystal Palace,1,['Johnson'],Liverpool,0,[]
1103,Everton,1,['Ferguson'],Birmingham,1,['Heskey']
